relational_fraction,ratio,seed,detected_pair,routing_correct,kurtosis_dev_true_pair,kurtosis_dev_strongest_competitor,oracle_ari_on_detected_pair
0.08,4.0,5013,"feature_3,feature_4",True,194.7181856221831,10.99344941980227,1.0
0.08,4.0,5014,"feature_3,feature_4",True,183.39030602135787,10.86756493227946,1.0
0.12,1.2,5000,"feature_3,feature_4",True,19.75501918199465,10.617358814431924,0.7379151404006657
0.12,1.2,5001,"feature_3,feature_4",True,20.46254844811931,10.791497438331232,0.7220640121683289
0.12,1.2,5002,"feature_3,feature_4",True,20.11392449125751,10.773163359807189,0.7293222283720804
0.12,1.2,5003,"feature_3,feature_4",True,21.17813598809784,10.685775755076902,0.6871386064302777
0.12,1.2,5004,"feature_3,feature_4",True,21.413462971178145,10.75250720074537,0.7446386921520742
0.12,1.2,5005,"feature_3,feature_4",True,21.44868069745861,10.78749848691908,0.7256685848719339
0.12,1.2,5006,"feature_3,feature_4",True,20.75265493537784,11.065632029589496,0.7679941353591616
0.12,1.2,5007,"feature_3,feature_4",True,21.84628382799423,11.17929714678582,0.7094413917895818
0.12,1.2,5008,"feature_3,feature_4",True,21.07994752684558,10.940848867618154,0.727255388091147
0.12,1.2,5009,"feature_3,feature_4",True,21.694013486478276,10.867620474696102,0.7574792794039247
0.12,1.2,5010,"feature_3,feature_4",True,22.086994150476105,10.905404829714097,0.7349289664636349
0.12,1.2,5011,"feature_3,feature_4",True,20.16842547339269,10.85653396908331,0.7365467476041655
0.12,1.2,5012,"feature_3,feature_4",True,20.336687876101234,11.095594248148485,0.7330371296024668
0.12,1.2,5013,"feature_3,feature_4",True,21.568233967521618,10.99344941980227,0.7125760304418598
0.12,1.2,5014,"feature_3,feature_4",True,19.031575083972744,10.86756493227946,0.7063182070471705
0.12,1.6,5000,"feature_3,feature_4",True,30.637080750132483,10.617358814431924,0.8321309308033575
0.12,1.6,5001,"feature_3,feature_4",True,31.599017157477704,10.791497438331232,0.8124460349777672
0.12,1.6,5002,"feature_3,feature_4",True,31.037457335309185,10.773163359807189,0.8187506282300243
0.12,1.6,5003,"feature_3,feature_4",True,32.77230446868258,10.685775755076902,0.786100463764746
0.12,1.6,5004,"feature_3,feature_4",True,33.152079022027486,10.75250720074537,0.837959717928241
0.12,1.6,5005,"feature_3,feature_4",True,33.24212790123289,10.78749848691908,0.8084254685716098
0.12,1.6,5006,"feature_3,feature_4",True,31.993394886991503,11.065632029589496,0.8392790098434022
0.12,1.6,5007,"feature_3,feature_4",True,33.64753941115893,11.17929714678582,0.8140386485686498
0.12,1.6,5008,"feature_3,feature_4",True,32.60779919280722,10.940848867618154,0.8297276369283868
0.12,1.6,5009,"feature_3,feature_4",True,33.72612618062943,10.867620474696102,0.8462809192352456
0.12,1.6,5010,"feature_3,feature_4",True,34.205070216126806,10.905404829714097,0.8147185857731503
