relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.04,1.6,3011,0.015306646889382054,0.021545855563897015,-0.0018707311899120098,0.3173697322945205,0.06876205436111595,0.23759013296050283,0.009931515215091924,0.06188584892500435,True
0.04,1.6,3012,0.005553136923934903,0.009222681538388816,0.0008949963983938546,0.3061738599424023,0.07443269933107918,0.19825658965348547,0.008119562184630391,0.06698942939797127,True
0.04,1.6,3013,0.07457739369147603,0.019487720697931508,0.00044850845621318997,0.32160583087231476,0.06337219073314436,0.25552865849328715,0.007523263603204167,0.057034971659829924,True
0.04,1.6,3014,0.07861336436381626,0.026065036035764537,0.0016822469544406993,0.316929882751083,0.047026095912151636,0.2316662585312287,0.006567491306029316,0.04232348632093647,True
0.04,2.3,3000,0.09758135845979984,0.03290275927855126,-0.0014817325025316336,0.3368325681638165,0.04586363150362646,0.26071018540293006,0.006921216467457758,0.04127726835326382,True
0.04,2.3,3001,0.06880428375811239,0.022943334735840377,-0.0005164562841545502,0.3154860373599182,0.04991909517379886,0.27872584938717176,0.005349144993125254,0.044927185656418976,True
0.04,2.3,3002,0.09625100170910508,0.031654262926527,0.003816441510671111,0.3326888979976916,0.0695669591011935,0.28289463070141346,0.00998964675537295,0.06261026319107414,True
0.04,2.3,3003,0.11815040063223169,0.03272638411262082,0.0009277095884297337,0.34090712138766566,0.05980871866842713,0.24348274532880132,0.0085326607197451,0.05382784680158441,True
0.04,2.3,3004,0.07799655169422182,0.02400732696948774,-0.0006090953302734934,0.3191134717412138,0.05705302634052358,0.22614139217381843,0.008996675302414625,0.05134772370647123,True
0.04,2.3,3005,0.07695952081670743,0.02940704700435206,0.0028104901130148506,0.31576847190629703,0.05067697780814989,0.2813718315804869,0.008298682819953029,0.0456092800273349,True
