seed,config,ari_k4,sil_k4
1065,A_plus_B,0.040678376457271105,0.36632959321414454
1065,A_plus_C,0.06465918874293128,0.30888107135565385
1065,A_plus_B_plus_C,0.06477808818323884,0.37104502847427157
1066,A_only,0.08323149808492827,0.30727675007205585
1066,A_plus_B,0.1061899846147362,0.3874297786897132
1066,A_plus_C,0.07088448962744154,0.30153126759289783
1066,A_plus_B_plus_C,0.09175470146928098,0.3861509687607147
1067,A_only,0.12876873425870658,0.3115759746762565
1067,A_plus_B,0.08319639584588807,0.38713389120365377
1067,A_plus_C,0.10233211067556143,0.3109158385302745
1067,A_plus_B_plus_C,0.0819440177979229,0.38382372155820965
1068,A_only,0.12368821645930725,0.32395357873076863
1068,A_plus_B,0.06037893528940316,0.39122222471401447
1068,A_plus_C,0.10101536149230099,0.3075728913043809
1068,A_plus_B_plus_C,0.027819162635778417,0.38255692518575923
1069,A_only,0.07056254942484466,0.3082713364957865
1069,A_plus_B,0.0058503433326860844,0.3789947413927222
1069,A_plus_C,0.0788306384358496,0.30017175859442063
1069,A_plus_B_plus_C,0.016794444428155655,0.3865747868162988
1070,A_only,0.07265158977335712,0.3083195619854937
1070,A_plus_B,0.03818002352866308,0.3834537605297916
1070,A_plus_C,0.038804756842615536,0.3174148684927427
1070,A_plus_B_plus_C,0.03340377147111584,0.392991599416819
1071,A_only,0.11252848893187327,0.3158715738940525
1071,A_plus_B,0.007912318303925045,0.3689029651463816
1071,A_plus_C,0.12037136881047887,0.3166579255498818
1071,A_plus_B_plus_C,0.019234506436122054,0.37634039741989145
1072,A_only,0.06681251759682644,0.31226742463380724
1072,A_plus_B,0.042728395694666466,0.38126375236476623
1072,A_plus_C,0.061305984556107654,0.3040024074174788
1072,A_plus_B_plus_C,0.010853019654326761,0.38020271883425694
1073,A_only,0.0841193847424643,0.31101682680798637
1073,A_plus_B,0.01237206389101024,0.37346983437147574
1073,A_plus_C,0.06720763947186717,0.3121163931348581
1073,A_plus_B_plus_C,0.06820769232217219,0.3759960978632747
1074,A_only,0.08401566691704916,0.3269872896423234
1074,A_plus_B,0.018783226687587286,0.3785452474555742
1074,A_plus_C,0.05875856437417005,0.3178474424350128
1074,A_plus_B_plus_C,0.03763786466192968,0.3690077560996337
1075,A_only,0.17257027232073147,0.30869167672573516
1075,A_plus_B,0.06963001018377599,0.3760294144094137
1075,A_plus_C,0.20356020382489518,0.31388452717343457
1075,A_plus_B_plus_C,0.10561802932643677,0.37975670027484215
1076,A_only,0.130539914811596,0.31127309488191235
1076,A_plus_B,0.03883407347350015,0.3829193328879384
1076,A_plus_C,0.1392270818705257,0.3180900983457442
1076,A_plus_B_plus_C,0.025536851377554983,0.3846704342822342
1077,A_only,0.09564674569217739,0.3201220047812552
1077,A_plus_B,0.04069911054970792,0.3765443807216657
1077,A_plus_C,0.07279789974882463,0.29923226012985615
1077,A_plus_B_plus_C,0.06919656813127668,0.38450747610615943
1078,A_only,0.040001416239361584,0.31121230930219995
1078,A_plus_B,0.006371187659928677,0.38261670492193184
1078,A_plus_C,0.1117347271016296,0.31201677910912873
1078,A_plus_B_plus_C,0.0033571347377811733,0.37987208196177696
1079,A_only,0.08672612941439001,0.3094166997752825
1079,A_plus_B,0.028673364266432598,0.3840670850304281
