seed,method,latent_dim,epochs_run,native_ari_a,native_ari_b,native_ari_c,posthoc_ari_at_k4,posthoc_ari_relational_at_k4,posthoc_ari_scale_at_k4,posthoc_best_k_by_silhouette,posthoc_ari_at_silhouette_best_k
1038,dec,10,26,0.5084758580771168,0.022674354699337217,-0.0011742008749540188,0.5086281122172236,0.022679901813738416,-0.0011736902395272485,4,0.5086281122172236
1038,idec,10,53,0.5903842831123024,0.007144319177739698,-0.00027047477811413984,0.5931781924139656,0.00837356026670624,-0.00037590785704485786,4,0.5931781924139656
1039,dec,10,22,0.5890702565658585,0.00349332216860351,0.0004003811003149883,0.5890580497999469,0.003513247190163753,0.0004031125907528995,4,0.5890580497999469
1039,idec,10,42,0.6620304585927408,4.3267203040167e-05,3.220694089253833e-05,0.6620581385263661,6.683131623391192e-05,5.537558561041493e-05,4,0.6620581385263661
1040,dec,10,23,0.5270379147424068,0.0056875730156400435,-0.00037368253844008323,0.5273129728834518,0.005775018617450359,-0.0003755986276511584,4,0.5273129728834518
1040,idec,10,50,0.6396055962537799,0.00023991610417105667,-3.329554300243508e-05,0.6392390525517911,0.0005367993068089018,-2.6596661257064446e-05,4,0.6392390525517911
1041,dec,10,30,0.1914402221480093,0.0232080544339204,-0.0003890938682615923,0.1914402221480093,0.0232080544339204,-0.0003890938682615923,4,0.1914402221480093
1041,idec,10,52,0.19645342989042447,0.013862789506179144,-0.0007685230327854013,0.20201930195572945,0.015952837016767852,-0.0009548961552277478,4,0.20201930195572945
1042,dec,10,25,0.5302103723141263,-0.0004957260002943027,0.00026340058309057084,0.5304904689487443,-0.0004681870724543435,0.0002630620262735591,4,0.5304904689487443
1042,idec,10,36,0.642301778366125,3.237389827801273e-05,-8.280399413111827e-05,0.6425356355570261,4.1293926222645304e-06,-4.4090572355057954e-05,4,0.6425356355570261
1043,dec,10,24,0.5058586669984816,0.022145423178594238,-0.0006836859130489757,0.505874816220916,0.022233578591266786,-0.000680033545018508,4,0.505874816220916
1043,idec,10,40,0.584378459340991,0.014751523817212172,0.00029637469073575366,0.5917519809372789,0.019446314303024237,0.0004556126939870106,4,0.5917519809372789
1044,dec,10,27,0.5237528340146299,0.022988147996516498,0.0001316377171049313,0.5236387136638976,0.023024053547071897,0.00013373823273632484,4,0.5236387136638976
1044,idec,10,50,0.5796625499434509,0.007255450783574563,-9.143817021959681e-05,0.5821783848689834,0.008546534859045331,-4.4797387165283284e-05,4,0.5821783848689834
1045,dec,10,24,0.3771321430854974,0.001873694754428872,-5.21174492256011e-05,0.37721953150841986,0.001873056722238401,-5.280682486606996e-05,4,0.37721953150841986
1045,idec,10,56,0.49968874470430874,-4.1153539782734505e-05,-0.00016687732436096325,0.5005653105585028,-3.641123377042017e-05,-0.00016179305344994006,4,0.5005653105585028
1046,dec,10,26,0.19695321881254774,0.02223157699176373,-0.00042675141025069676,0.19741716692692032,0.02231473875563342,-0.0004226084172458534,4,0.19741716692692032
1046,idec,10,60,0.21250136755459414,0.013620970717502212,-0.0002842568597857857,0.21561617696061294,0.014721229695268285,-0.0003077937232588272,4,0.21561617696061294
1047,dec,10,7,0.9614205553076122,-1.2369560689956196e-05,4.8937874250631955e-06,0.961093054652335,-1.8277968690921383e-05,3.1239058321485474e-06,4,0.961093054652335
1047,idec,10,9,0.9623908315960341,-2.053767778278441e-05,1.2879774248974102e-05,0.9623913035546412,-1.4892728331124184e-05,1.0123365971895029e-05,4,0.9623913035546412
1048,dec,10,17,0.6186501381999069,0.0004614094963573373,5.414035863984347e-05,0.6186824901317207,0.000452728166374399,5.353500113514729e-05,4,0.6186824901317207
1048,idec,10,27,0.6442765197518483,0.00016184738670952292,-6.052317184430783e-05,0.644312756251026,0.00016671572433125996,-5.946665305854894e-05,4,0.644312756251026
1049,dec,10,27,0.1834550657346102,0.024010927788736373,0.0001188858354836644,0.18354925682145928,0.024054079321412368,0.00012097261554152569,4,0.18354925682145928
1049,idec,10,60,0.17567062234270175,0.006628282336724806,-1.0679284452219058e-06,0.17722988810420626,0.007060857183920303,-3.7348235256084296e-06,4,0.17722988810420626
1050,dec,10,28,0.5132530908786406,0.02666002514822095,0.00045194461317626765,0.5135110435586211,0.026754284207729885,0.0003627831869896427,4,0.5135110435586211
1050,idec,10,46,0.6011938946470339,0.0008616430244396991,-4.5262388963600316e-05,0.6044403437024841,0.0027182713618300494,1.5727983460377605e-05,4,0.6044403437024841
1051,dec,10,28,0.1827697873905115,0.0209047567224022,0.0001585325652753099,0.18280903232238657,0.020935496317678763,0.0001639789988679105,4,0.18280903232238657
1051,idec,10,53,0.16257071600740652,0.00034086984182469447,0.0004978916910608737,0.16719964648042238,0.0018620144410564391,0.00040910240703477763,4,0.16719964648042238
1052,dec,10,26,0.1967830272625977,0.018249371304093237,0.0006425977344334322,0.1967830272625977,0.018249371304093237,0.0006425977344334322,4,0.1967830272625977
1052,idec,10,60,0.20076086756049022,0.012425933217481028,0.0005067350410927342,0.2021351748547214,0.013094172630105053,0.0005417914989296504,4,0.2021351748547214
1053,dec,10,25,0.5651696624476197,0.003351723746525055,-0.00012134172660601365,0.5654527824298551,0.003372228709724921,-0.0001220931037065031,4,0.5654527824298551
1053,idec,10,41,0.6638703622558852,0.00011158753807358867,-5.3466415265118915e-05,0.6643347018050975,5.320181281826533e-05,-3.8192472128035895e-05,4,0.6643347018050975
1054,dec,10,27,0.21776326402686244,0.009558101417085269,-0.0003673136910098534,0.21793586762676856,0.009555268791097646,-0.00036713452721305937,4,0.21793586762676856
1054,idec,10,53,0.25714212928397223,0.008981550762769804,-0.00046792907441126015,0.25837258180682054,0.009647085504996747,-0.0004973173027103064,4,0.25837258180682054
1055,dec,10,25,0.49483329385623254,0.01784012864866544,0.00016769476908348765,0.49503643801544345,0.017901824920712735,0.00017405539698892562,4,0.49503643801544345
1055,idec,10,56,0.5923887515219739,0.006856745464285356,0.00010313243756460343,0.5937361398573326,0.007578144614279717,8.908500703106282e-05,4,0.5937361398573326
1056,dec,10,29,0.21107504072177397,0.007896170690689007,8.422379865367382e-05,0.21100697324849912,0.007904135879510782,8.347415328941245e-05,4,0.21100697324849912
1056,idec,10,50,0.2635208695131783,0.0010019540350951904,0.0003442778152194673,0.26469945383946714,0.0015618989026489644,0.0003541283468858511,4,0.26469945383946714
1057,dec,10,22,0.5769319198961043,0.006120322363973943,-0.0003733634089159618,0.5767277957247219,0.006093782458582468,-0.00037404004806570296,4,0.5767277957247219
1057,idec,10,41,0.6468334869757285,-2.850901253859033e-05,8.174284077823797e-05,0.6472974788437817,-3.5150674736385444e-05,6.03872755114422e-05,4,0.6472974788437817
1058,dec,10,23,0.1831368570853232,0.013353074564673951,6.1218849531507004e-06,0.18348297275036649,0.0135325064584639,1.2953868204310123e-05,4,0.18348297275036649
1058,idec,10,60,0.2196224454337471,0.007024135569383751,-0.00038727383032967,0.22127930051940822,0.00758077045665377,-0.00036365547356686335,4,0.22127930051940822
